CREB3L1	CC
CD44	OC
MMP2	OC
RYR3	FP
ERBB4	OC
KANK1	OC
PAX7	CC
C10orf90	OC
TUBD1	FP
OR2T33	FP
GPHN	CC
ERCC5	CC
LPP	CC
ATRX	CC
CNBP	CC
HSPB1	OC
MYO1B	FP
NBN	CC
TLX3	CC
CXCR4	OC
CADM4	OC
MPL	CC
GSTA1	OC
IGF1	OC
PLAU	OC
RAC1	CC
PAK1	OC
RBM15	CC
NTRK1	CC
PTEN	CC
AFF1	CC
CYCS	OC
STYK1	OC
COL22A1	FP
MYO9B	FP
MMP7	OC
RAP1A	OC
MALT1	CC
EP300	CC
AXIN1	CC
MITF	CC
SETD2	CC
PRKCG	OC
SERPINB5	OC
PRKCDBP	OC
HOXD11	CC
DDX5	CC
COL4A5	FP
LGR6	OC
OR5L1	FP
CCNB1	OC
DEC1	OC
ZEB1	OC
HOXC13	CC
OR10G9	FP
ERG	CC
TRIM33	CC
NUTM2B	CC
TCL6	CC
SYNE2	FP
FGR	OC
PHLDA3	OC
CD4	OC
RAD51B	CC
FGFR1	CC
THRAP3	CC
MET	CC
COX6C	CC
COL20A1	FP
NUP214	CC
IGL	CC
IRF1	OC
SDHB	CC
CD1D	OC
MAX	CC
MSN	CC
MYO3B	FP
SMARCD1	CC
YEATS4	OC
SUSD2	OC
HOXA13	CC
OR10AG1	FP
NANOG	OC
CSF3R	CC
MED29	OC
PHLPP2	OC
SHC1	OC
MYOM1	FP
CD33	OC
SFPQ	CC
BRCA1	CC
EXT2	CC
OR4C46	FP
TUBAL3	FP
HOOK3	CC
ABL2	CC
RUNX3	OC
FCGR2B	CC
MAP3K5	OC
SMO	CC
ACSL3	CC
BMPR1A	CC
COL9A2	FP
GPC5	OC
STAG2	CC
MAML2	CC
TMEM127	OC
FEV	CC
ARHGEF12	CC
COL1A1	CC
IGH	CC
SEPT5	CC
MTHFR	OC
SSX2	CC
PTPN11	CC
KDM5C	CC
PDCD4	OC
CARD11	CC
FOXP3	OC
CDK12	CC
ALDH3A2	OC
WHSC1	CC
PLK1	OC
PLCG1	CC
GNAS	CC
FBN2	FP
DDX53	OC
DDB2	CC
GOLGA3	FP
VWA5A	OC
BTG1	CC
CACNA1E	OC
DICER1	CC
PLEKHO1	OC
CD38	OC
IKZF1	CC
HIF3A	OC
CCNE1	CC
IFNA2	OC
EVI2A	OC
DMTN	OC
BRMS1	OC
WHSC1L1	CC
GSTA2	OC
SMUG1	OC
MYO6	FP
COL15A1	FP
ALK	CC
EZH2	CC
GATA6	OC
MSH6	CC
MUC16	FP
GRB7	OC
FBXO11	CC
ALDH2	CC
MYO1C	FP
YWHAE	CC
GOLGA6L10	FP
DAPK3	OC
FAS	CC
TPM3	CC
GSTA4	OC
ARNT	CC
PRDM16	CC
GOLGA6L5	FP
CDK1	OC
PRKCI	OC
CDKN1B	CC
POU2AF1	CC
PTK2	OC
HIST1H3B	CC
LSM14A	CC
HSPB3	OC
TUBB	FP
TNFSF10	OC
SMARCB1	CC
CHEK1	OC
YWHAQ	OC
HMGN2P46	CC
MAP3K13	CC
MUC1	CC
STARD13	OC
SKP2	OC
NFKB2	CC
BCL2	CC
TNFRSF10A	OC
CAMTA1	CC
PTHLH	OC
C8orf4	OC
MYO5B	FP
MYO15B	FP
KIF5B	CC
MLF1	CC
COL18A1	OC
PIK3CB	OC
MYH9	CC
OR4N5	FP
IDH2	CC
C2orf44	CC
LIMD1	OC
NPM1	CC
URI1	OC
CD6	OC
FUS	CC
TF	OC
HSPB2-C11orf52	OC
OR5M5P	FP
DNMT3B	OC
PAX9	OC
ELAC2	OC
BCL9	CC
ZNF331	CC
SND1	CC
GOLGA6L3	FP
OR10G7	FP
COL21A1	FP
TUBA3C	FP
RHOH	CC
CYP1A1	OC
ATR	CC
GNA11	CC
CD40	OC
SGCB	OC
FRAT1	OC
CLP1	CC
MYO5C	FP
RUNDC2A	CC
CASP8	CC
CMC4	OC
TSC2	CC
KDM5A	CC
FGF6	OC
ETS2	OC
RASSF5	OC
SIRT4	OC
CDH2	OC
H3F3B	CC
PTPRB	CC
KDM6A	CC
GOLGA6D	FP
NCAM1	OC
WNT3	OC
EZR	CC
ATF1	CC
FGFR3	CC
OR4C13	FP
TCF12	CC
MYOT	FP
ZRSR2	CC
KRAS	CC
BCL2L2	OC
CDX2	CC
PLEKHG2	OC
FGF1	OC
C15orf65	CC
CDC6	OC
PPARG	CC
COL7A1	FP
UFL1	OC
MERTK	OC
FUT4	OC
CHGA	OC
HSPA4	OC
CIITA	CC
CD99	OC
CRP	OC
RHOA	CC
MUTYH	CC
FANCC	CC
NEBL	FP
RARB	OC
CALCA	OC
ZNF320	OC
TP73	OC
PRKCD	OC
MAFA	OC
PICALM	CC
SERPINA1	OC
ZNF639	OC
COL4A3	FP
MYO10	FP
GFI1B	OC
HLF	CC
PPIG	OC
TUSC2	OC
RET	CC
GSTP1	OC
XPC	CC
RUNX1	CC
HOXD13	CC
MED12	CC
CARS	CC
PRR5	OC
MYO16	FP
STAT5A	OC
NRAS	CC
AURKA	OC
EGR1	OC
TUBA3E	FP
OGG1	OC
FUBP1	CC
LITAF	OC
TRIM37	OC
AFP	OC
C10orf99	OC
TUBA1B	FP
GATA1	CC
PBX1	CC
FN1	OC
GOLGA8N	FP
ABCB1	OC
PHOX2B	CC
ALPP	OC
PBRM1	CC
DLEC1	OC
RSPO2	CC
ATP1A1	CC
GOLGA1	FP
PIM1	CC
NFE2L2	CC
PCLO	FP
DYRK2	OC
KLF6	CC
KLF4	CC
YWHAZ	OC
PRRX1	CC
MYOD1	CC
RPL10	CC
TRAF7	CC
CHCHD7	CC
HCK	OC
AURKB	OC
RRAS2	OC
MTOR	OC
USP4	OC
CKS1B	OC
TRB	CC
CLTCL1	CC
CDKN2D	OC
HIST1H4I	CC
UBR5	CC
OR6A2	FP
WT1	CC
SNAI1	OC
NCOA3	OC
BRD4	CC
CCDC6	CC
RASSF4	OC
FES	OC
CBLB	CC
CDK6	CC
LRIG3	CC
PDGFRB	CC
STARD3	OC
TFPT	CC
NPRL2	OC
OMD	CC
CTSB	OC
COL6A2	FP
NDRG2	OC
MYOF	FP
DCTN1	CC
TNF	OC
CHL1	OC
LCK	CC
AFF4	CC
FANCA	CC
MUC2	OC
MAP3K8	OC
RAF1	CC
VTI1A	CC
TRD	CC
AKIP1	OC
COL23A1	FP
NSD1	CC
EGF	OC
SSX4	CC
PDGFD	OC
EFNA1	OC
BRCC3	OC
PTCRA	OC
FYN	OC
ERCC1	OC
MYO1H	FP
NAT6	OC
BLM	CC
RAB23	OC
CREBBP	CC
ZNF384	CC
PARK7	OC
VEGFC	OC
MAP2K2	CC
RPN1	CC
TUBA1A	FP
SDC4	CC
COL5A2	FP
ZBTB16	CC
PDGFB	CC
TFE3	CC
ELN	CC
KLK2	CC
CALR	CC
GOLGA8A	FP
MYOZ2	FP
OR1J2	FP
CSMD3	FP
ABCC3	OC
FGFR2	CC
OR11L1	FP
IL8	OC
XRCC3	OC
SET	CC
CSF3	OC
LMO2	CC
THY1	OC
LZTS1	OC
NAB2	CC
P2RY8	CC
KIT	CC
PRKAR1A	CC
FAM120A	OC
HLA-A	CC
KRT8	OC
SHH	OC
CD7	OC
RPL22	CC
FHIT	CC
TNFRSF17	CC
JAK2	CC
